Team name,goals for,goals against,faceoff winning %,man-up off,man down def,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
Penn St.,323,199,0.584,0.613,0.6,11.61,36.17,15.44,7.06,0.434,0.852
UMBC,189,199,0.391,0.3,0.633,8.31,26.31,15.06,7.5,0.309,0.857
