Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %,actual winner
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,1
robert morris,208,144,0.412,0.429,0.771,3.56,11,28.11,13.44,9.39,0.339,0.91,1
syracuse,169,160,0.482,0.381,0.642,0.6,9.4,30.47,12.4,7.93,0.328,0.857,2
cornell,244,166,0.443,0.375,0.661,4.33,11.56,28.83,11.39,7.11,0.389,0.86,2
johns hopkins,199,165,0.524,0.355,0.68,2,9.88,27,10.88,5.59,0.294,0.897,1
georgetown,188,138,0.487,0.372,0.718,2.94,9.76,26.06,11.65,7.18,0.333,0.911,1
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,1
vilanova,172,182,0.426,0.439,0.569,-0.63,9.56,25.13,10.31,5.75,0.269,0.9,1
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,1
umass,197,170,0.567,0.361,0.683,1.59,11.82,28.88,13.59,7.94,0.309,0.887,1
Loyola,223,148,0.426,0.255,0.69,4.41,10,30.88,12.24,9.65,0.351,0.868,1
Virginia,227,206,0.577,0.382,0.676,1.17,10.61,38,14.83,8.28,0.321,0.849,1
Notre Dame,151,129,0.526,0.315,0.611,1.47,,27.27,13.67,5.73,0.307,0.919,2
Denver,193,134,0.738,0.512,0.556,3.47,,26.71,11.82,4.88,0.328,0.882,2
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,1
richmond,181,178,0.417,0.44,0.725,0.18,9.76,26.94,12.76,7.06,0.304,0.92,1
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,1
cornell,244,166,0.443,0.375,0.661,4.33,11.56,28.83,11.39,7.11,0.389,0.86,1
johns hopkins,199,165,0.524,0.355,0.68,2,9.88,27,10.88,5.59,0.294,0.897,2
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,2
Denver,193,134,0.738,0.512,0.556,3.47,,26.71,11.82,4.88,0.328,0.882,2
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,1
Loyola,223,148,0.426,0.255,0.69,4.41,10,30.88,12.24,9.65,0.351,0.868,1
maryland,210,170,0.528,0.568,0.784,2.22,10.39,26.17,9.83,4.89,0.353,0.891,2
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,1
albany,274,164,0.769,0.375,0.609,5.79,10.47,33.26,12.42,5.68,0.326,0.918,1
duke,272,173,0.51,0.486,0.697,5.32,9.58,31.32,11.21,7.68,0.373,0.893,2
Yale,278,176,0.606,0.46,0.656,5.26,8,32.63,12.95,8.37,0.329,0.869,2
