Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
Penn,239,187,0.62,0.418,0.674,3.25,13,31.75,16.19,5.75,0.322,0.858
Army,200,155,0.328,0.256,0.69,2.5,11.72,30.67,15.33,8.61,0.277,0.852
