Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
Penn St.,323,199,0.584,0.613,0.6,6.89,11.61,36.17,15.44,7.06,0.434,0.852
UMBC,189,199,0.391,0.3,0.633,-0.63,8.31,26.31,15.06,7.5,0.309,0.857
Loyola,239,181,0.522,0.421,0.764,3.41,15.12,34.12,15,7.35,0.335,0.833
Syracuse,180,142,0.566,0.48,0.68,2.71,13.36,36.71,14.14,8.86,0.294,0.853
Yale,296,216,0.751,0.403,0.515,4.21,10.21,39.74,15.58,7.21,0.296,0.835
Georgetown,254,200,0.46,0.409,0.673,3,12.44,33.22,13.67,8.61,0.339,0.869
Penn,239,187,0.62,0.418,0.674,3.25,13,31.75,16.19,5.75,0.322,0.858
Army,200,155,0.328,0.256,0.69,2.5,11.72,30.67,15.33,8.61,0.277,0.852
Virginia,282,205,0.573,0.347,0.675,3.85,11.5,41.55,15.6,9.3,0.311,0.82
Robert Morris,229,232,0.458,0.431,0.467,-0.18,12.88,32.59,14.59,8.76,0.308,0.836
Towson,203,173,0.686,0.441,0.646,1.88,11.63,34.25,17,7,0.299,0.82
Maryland,215,182,0.538,0.302,0.61,1.94,11.41,28.65,14.71,4.06,0.351,0.878
Notre Dame,184,162,0.58,0.403,0.652,1.38,10,29.88,17.06,6.94,0.303,0.871
Johns Hopkins,194,208,0.54,0.456,0.673,-0.88,10.63,28.75,13.94,6.31,0.29,0.851
Duke,220,173,0.509,0.339,0.589,2.61,9.94,32.83,15.11,7.44,0.309,0.833
Richmond,202,172,0.362,0.311,0.768,1.76,12.82,27.35,15.82,9.06,0.322,0.866
Penn St.,323,199,0.584,0.613,0.6,6.89,11.61,36.17,15.44,7.06,0.434,0.852
Loyola,239,181,0.522,0.421,0.764,3.41,15.12,34.12,15,7.35,0.335,0.833
Yale,296,216,0.751,0.403,0.515,4.21,10.21,39.74,15.58,7.21,0.296,0.835
Penn,239,187,0.62,0.418,0.674,3.25,13,31.75,16.19,5.75,0.322,0.858
Notre Dame,184,162,0.58,0.403,0.652,1.38,10,29.88,17.06,6.94,0.303,0.871
Duke,220,173,0.509,0.339,0.589,2.61,9.94,32.83,15.11,7.44,0.309,0.833
Virginia,282,205,0.573,0.347,0.675,3.85,11.5,41.55,15.6,9.3,0.311,0.82
Maryland,215,182,0.538,0.302,0.61,1.94,11.41,28.65,14.71,4.06,0.351,0.878
Virginia,282,205,0.573,0.347,0.675,3.85,11.5,41.55,15.6,9.3,0.311,0.82
Duke,220,173,0.509,0.339,0.589,2.61,9.94,32.83,15.11,7.44,0.309,0.833
Penn St.,323,199,0.584,0.613,0.6,6.89,11.61,36.17,15.44,7.06,0.434,0.852
Yale,296,216,0.751,0.403,0.515,4.21,10.21,39.74,15.58,7.21,0.296,0.835
Yale,296,216,0.751,0.403,0.515,4.21,10.21,39.74,15.58,7.21,0.296,0.835
Virginia,282,205,0.573,0.347,0.675,3.85,11.5,41.55,15.6,9.3,0.311,0.82
