Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %,score,actual winner
maryland,232,167,0.524,0.476,0.731,3.25,9.7,27.8,10.65,6.35,0.305,0.91,13,1
quinnipiac,165,139,0.515,0.276,0.679,1.63,12,27.63,13.63,6.88,0.285,0.881,6,1
syracuse,212,149,0.626,0.469,0.535,3.71,8.35,30.59,11.82,7.41,0.306,0.902,11,1
albany,207,161,0.495,0.5,0.644,2.88,12.69,28.44,13.38,8.25,0.342,0.907,9,1
yale,198,130,0.492,0.386,0.673,4.25,8,30.69,12.81,8.5,0.302,0.853,10,2
navy,158,118,0.566,0.364,0.59,2.5,9.75,29.63,13.38,7.81,0.279,0.869,13,2
brown,310,171,0.668,0.443,0.64,7.32,12.79,39.79,16.74,8.63,0.361,0.876,17,1
hopkins,185,174,0.531,0.481,0.667,0.73,10.27,29.07,12.67,4.8,0.313,0.843,8,1
notre dame,165,120,0.493,0.447,0.556,3,10.13,29.67,13.2,8.47,0.293,0.891,15,1
air force,181,139,0.512,0.325,0.706,2.33,9.44,24.39,14.11,6.94,0.308,0.871,7,1
marquette,149,130,0.556,0.371,0.632,1.19,8.38,26.25,12,6.44,0.297,0.869,9,2
North Carolina,235,189,0.56,0.5,0.691,2.56,9.67,30.17,12.44,6.56,0.326,0.829,10,2
loyola,197,155,0.511,0.432,0.644,2.33,9.83,29.83,11.44,7.33,0.272,0.898,16,1
duke,254,189,0.597,0.429,0.623,3.42,10.68,34.95,15,6.26,0.346,0.839,11,1
denver,217,146,0.673,0.52,0.706,4.44,9.69,32.44,12.5,3.81,0.377,0.871,9,2
towson,207,138,0.481,0.426,0.643,3.63,8.47,25.89,10.32,6.63,0.292,0.892,10,2
maryland,232,167,0.524,0.476,0.731,3.25,9.7,27.8,10.65,6.35,0.305,0.91,13,1
syracuse,212,149,0.626,0.469,0.535,3.71,8.35,30.59,11.82,7.41,0.306,0.902,7,1
navy,158,118,0.566,0.364,0.59,2.5,9.75,29.63,13.38,7.81,0.279,0.869,10,2
brown,310,171,0.668,0.443,0.64,7.32,12.79,39.79,16.74,8.63,0.361,0.876,11,2
notre dame,165,120,0.493,0.447,0.556,3,10.13,29.67,13.2,8.47,0.293,0.891,9,2
North Carolina,235,189,0.56,0.5,0.691,2.56,9.67,30.17,12.44,6.56,0.326,0.829,13,2
loyola,197,155,0.511,0.432,0.644,2.33,9.83,29.83,11.44,7.33,0.272,0.898,10,1
towson,207,138,0.481,0.426,0.643,3.63,8.47,25.89,10.32,6.63,0.292,0.892,8,1
maryland,232,167,0.524,0.476,0.731,3.25,9.7,27.8,10.65,6.35,0.305,0.91,15,1
brown,310,171,0.668,0.443,0.64,7.32,12.79,39.79,16.74,8.63,0.361,0.876,14,1
North Carolina,235,189,0.56,0.5,0.691,2.56,9.67,30.17,12.44,6.56,0.326,0.829,18,1
loyola,197,155,0.511,0.432,0.644,2.33,9.83,29.83,11.44,7.33,0.272,0.898,13,1
maryland,232,167,0.524,0.476,0.731,3.25,9.7,27.8,10.65,6.35,0.305,0.91,13,2
North Carolina,235,189,0.56,0.5,0.691,2.56,9.67,30.17,12.44,6.56,0.326,0.829,14,2
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903,13,1
bryant,191,155,0.564,0.532,0.585,1.89,9.79,28.89,14.84,7.53,0.286,0.861,10,1
albany,277,171,0.686,0.358,0.829,5.89,10.67,33.28,13.67,6.06,0.344,0.892,15,1
North Carolina,184,167,0.521,0.391,0.596,1.06,10.13,29.88,13.25,6.69,0.289,0.887,12,1
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876,17,1
air force,197,147,0.544,0.38,0.622,2.78,,26.56,12.17,6.44,0.288,0.879,10,1
notre Dame,158,147,0.437,0.283,0.55,0.73,10.27,26.33,12.47,7.2,0.319,0.861,15,1
marquette,153,149,0.497,0.3,0.756,0.25,9.75,26.13,11.5,5.75,0.274,0.885,9,1
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87,7,1
