Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
Loyola,239,181,0.522,0.421,0.764,3.41,15.12,34.12,15,7.35,0.335,0.833
Syracuse,180,142,0.566,0.48,0.68,2.71,13.36,36.71,14.14,8.86,0.294,0.853
