Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
Yale,296,216,0.751,0.403,0.515,4.21,10.21,39.74,15.58,7.21,0.296,0.835
Georgetown,254,200,0.46,0.409,0.673,3,12.44,33.22,13.67,8.61,0.339,0.869
